,datetime,epoch_time,value,compensation
225,2024-08-11 09:00:00,1723366800000,194197.4945,0.0
226,2024-08-11 10:00:00,1723370400000,194225.4944,0.0
227,2024-08-11 11:00:00,1723374000000,194250.50355,0.0
228,2024-08-11 12:00:00,1723377600000,194276.99279999998,0.0
229,2024-08-11 13:00:00,1723381200000,194302.00195,0.0
230,2024-08-11 14:00:00,1723384800000,194324.4934,0.0
231,2024-08-11 15:00:00,1723388400000,194347.50365,0.0
232,2024-08-11 16:00:00,1723392000000,194369.9951,0.0
233,2024-08-11 17:00:00,1723395600000,194390.50295000002,0.0
234,2024-08-11 18:00:00,1723399200000,194410.99550000002,0.0
235,2024-08-11 19:00:00,1723402800000,194425.99485,0.0
236,2024-08-11 20:00:00,1723406400000,194439.49889999998,0.0
237,2024-08-11 21:00:00,1723410000000,194453.50645,0.0
238,2024-08-11 22:00:00,1723413600000,194468.50585000002,0.0
239,2024-08-11 23:00:00,1723417200000,194483.99355,0.0
240,2024-08-12 00:00:00,1723420800000,194500.50355,0.0
241,2024-08-12 01:00:00,1723424400000,194516.00645,0.0
242,2024-08-12 02:00:00,1723428000000,194531.49414999998,0.0
243,2024-08-12 03:00:00,1723431600000,194552.5055,0.0
244,2024-08-12 04:00:00,1723435200000,194581.4972,0.0
245,2024-08-12 05:00:00,1723438800000,194606.99464999998,0.0
246,2024-08-12 06:00:00,1723442400000,194629.50135,0.0
247,2024-08-12 07:00:00,1723446000000,194653.50340000002,0.0
248,2024-08-12 08:00:00,1723449600000,194682.99865,0.0
249,2024-08-12 09:00:00,1723453200000,194713.50100000002,0.0
250,2024-08-12 10:00:00,1723456800000,194742.0044,0.0
251,2024-08-12 11:00:00,1723460400000,194770.00425,0.0
252,2024-08-12 12:00:00,1723464000000,194797.5006,0.0
253,2024-08-12 13:00:00,1723467600000,194824.4934,0.0
254,2024-08-12 14:00:00,1723471200000,194852.005,0.0
255,2024-08-12 15:00:00,1723474800000,194876.99889999998,0.0
256,2024-08-12 16:00:00,1723478400000,194901.99279999998,0.0
257,2024-08-12 17:00:00,1723482000000,194924.4995,0.0
258,2024-08-12 18:00:00,1723485600000,194944.00024999998,0.0
259,2024-08-12 19:00:00,1723489200000,194962.99745,0.0
260,2024-08-12 20:00:00,1723492800000,194979.99575,0.0
261,2024-08-12 21:00:00,1723496400000,194997.49755,0.0
262,2024-08-12 22:00:00,1723500000000,195014.9994,0.0
263,2024-08-12 23:00:00,1723503600000,195033.00475,0.0
264,2024-08-13 00:00:00,1723507200000,195051.4984,0.0
265,2024-08-13 01:00:00,1723510800000,195069.5038,0.0
266,2024-08-13 02:00:00,1723514400000,195087.99745,0.0
267,2024-08-13 03:00:00,1723518000000,195108.0017,0.0
268,2024-08-13 04:00:00,1723521600000,195128.49425,0.0
269,2024-08-13 05:00:00,1723525200000,195152.9999,0.0
270,2024-08-13 06:00:00,1723528800000,195175.5066,0.0
271,2024-08-13 07:00:00,1723532400000,195202.4994,0.0
272,2024-08-13 08:00:00,1723536000000,195230.49925000002,0.0
273,2024-08-13 09:00:00,1723539600000,195260.49805,0.0
